chromosome,total_variants,concordance,reclassification_rate,unclassified_stability,other_stability,benign_stability,likely benign_stability,vus_stability,conflicting_stability,likely pathogenic_stability,pathogenic_stability,to_likely_pathogenic,to_pathogenic,vus_to_likely_pathogenic,vus_to_pathogenic,benign_to_pathogenic,benign_to_likely_pathogenic,likely_benign_to_pathogenic,pathogenic_to_vus,pathogenic_to_benign,likely_pathogenic_to_vus,likely_pathogenic_to_benign
Chr1,2269169,0.9950224068811093,0.0049775931188906775,0.99578291537794,0.0,0.934989842162838,0.9440014176856282,0.7874050915587316,0.8894154818325435,0.7283950617283951,0.6483516483516484,57,28,4,2,0,1,0,3,0,3,0
Chr2,2102653,0.9961962339958138,0.003803766004186193,0.9969974846127091,,0.9439677814743478,0.9385948736861516,0.7344935296742525,0.9252437703141928,0.6774193548387096,0.6901408450704225,46,20,1,0,0,0,0,1,0,0,0
Chr3,1705387,0.9962853006385061,0.003714699361493934,0.9968498836584612,,0.9475430759412891,0.9510144927536232,0.7721788502484032,0.8792822185970636,0.6666666666666666,0.5961538461538461,28,21,3,0,0,0,0,3,1,0,0
Chr4,1602356,0.9972378173140052,0.0027621826859948184,0.997695208784199,0.0,0.9414847161572052,0.9408534009294466,0.790356394129979,0.8737060041407867,0.8076923076923077,0.5806451612903226,14,16,0,1,0,0,0,1,1,2,0
Chr5,1505385,0.9966553406603627,0.003344659339637346,0.9972862857954378,1.0,0.9456729456729457,0.9404613466334164,0.7540563620836892,0.8703170028818443,0.7391304347826086,0.5925925925925926,22,14,2,1,0,0,0,1,0,0,0
Chr6,1523834,0.9964162763135617,0.0035837236864383337,0.9970071588654068,,0.9401639344262295,0.9494697442295695,0.8096,0.8966480446927374,0.7894736842105263,0.56,36,16,1,2,0,0,0,2,0,0,0
Chr7,1496449,0.9964288793002635,0.0035711206997365297,0.997097217937024,,0.9352437140047759,0.957405614714424,0.7315555555555555,0.8070469798657718,0.75,0.6153846153846154,27,13,2,1,0,0,0,3,0,0,0
Chr8,1252310,0.9968090967891337,0.003190903210866347,0.9973459851291551,,0.9394567696454489,0.9360576923076923,0.7940267765190525,0.9078947368421053,0.6470588235294118,0.7714285714285715,10,8,0,1,0,0,0,1,0,0,0
Chr9,1157471,0.9957787279335725,0.004221272066427528,0.9965154939191354,,0.941970310391363,0.9523381294964028,0.765296803652968,0.8973214285714286,0.5416666666666666,0.65625,25,10,0,1,0,0,0,1,0,2,0
Chr10,1284229,0.9967809479461996,0.003219052053800353,0.9973768679017377,,0.9504770558836892,0.9500381388253242,0.7647058823529411,0.8933333333333333,0.7727272727272727,0.5365853658536586,26,7,0,0,0,0,0,1,0,1,0
