# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ACO2	ENSG00000100412	ENST00000216254	protein_coding	0	3	0	30	0	0	0	0	0	0	4	0	26	0	0	0	0	0	0	0	3	0
ACO2	ENSG00000100412	ENST00000396512	protein_coding	0	3	0	30	0	0	0	0	0	0	4	0	26	0	0	0	0	0	0	0	3	0
ACO2	ENSG00000100412	ENST00000466237	protein_coding	0	0	0	24	0	0	0	0	0	0	12	0	12	0	0	0	0	0	0	0	0	0
ACO2	ENSG00000100412	ENST00000471094	retained_intron	0	0	0	12	0	0	0	0	0	0	8	0	4	0	0	0	0	0	0	0	0	0
ACO2	ENSG00000100412	ENST00000478010	retained_intron	0	0	0	8	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
ACO2	ENSG00000100412	ENST00000482208	retained_intron	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
ACO2	ENSG00000100412	ENST00000676664	nonsense_mediated_decay	0	0	0	32	3	0	0	0	0	0	4	0	22	0	3	0	0	0	0	0	0	0
ACO2	ENSG00000100412	ENST00000676714	nonsense_mediated_decay	0	0	0	36	3	0	0	0	0	0	4	0	26	0	3	0	0	0	0	0	0	0
ACO2	ENSG00000100412	ENST00000676748	protein_coding	0	3	0	30	0	0	0	0	0	0	4	0	26	0	0	0	0	0	0	0	3	0
ACO2	ENSG00000100412	ENST00000676792	protein_coding	0	3	0	30	0	0	0	0	0	0	4	0	26	0	0	0	0	0	0	0	3	0
ACO2	ENSG00000100412	ENST00000676822	processed_transcript	0	0	0	33	0	0	0	0	0	0	4	0	26	0	3	0	0	0	0	0	0	0
ACO2	ENSG00000100412	ENST00000676883	retained_intron	0	0	0	21	0	0	0	0	0	0	4	0	2	0	11	0	0	0	0	0	0	4
ACO2	ENSG00000100412	ENST00000676959	nonsense_mediated_decay	0	0	0	36	3	0	0	0	0	0	4	0	26	0	3	0	0	0	0	0	0	0
ACO2	ENSG00000100412	ENST00000677007	nonsense_mediated_decay	0	0	0	36	3	0	0	0	0	0	4	0	26	0	3	0	0	0	0	0	0	0
ACO2	ENSG00000100412	ENST00000677153	protein_coding	0	3	0	30	0	0	0	0	0	0	4	0	26	0	0	0	0	0	0	0	3	0
ACO2	ENSG00000100412	ENST00000677427	retained_intron	0	0	0	21	0	0	0	0	0	0	9	0	12	0	0	0	0	0	0	0	0	0
ACO2	ENSG00000100412	ENST00000677492	retained_intron	0	0	0	29	0	0	0	0	0	0	4	0	14	0	3	0	0	0	0	0	0	8
ACO2	ENSG00000100412	ENST00000677516	nonsense_mediated_decay	0	0	0	36	3	0	0	0	0	0	4	0	26	0	3	0	0	0	0	0	0	0
ACO2	ENSG00000100412	ENST00000677532	protein_coding	0	3	0	30	0	0	0	0	0	0	4	0	26	0	0	0	0	0	0	0	3	0
ACO2	ENSG00000100412	ENST00000677554	protein_coding	0	3	0	30	0	0	0	0	0	0	4	0	26	0	0	0	0	0	0	0	3	0
ACO2	ENSG00000100412	ENST00000677698	nonsense_mediated_decay	0	0	0	36	3	0	0	0	0	0	4	0	26	0	3	0	0	0	0	0	0	0
ACO2	ENSG00000100412	ENST00000678269	protein_coding	0	3	0	30	0	0	0	0	0	0	4	0	26	0	0	0	0	0	0	0	3	0
ACO2	ENSG00000100412	ENST00000678394	retained_intron	0	0	0	33	0	0	0	0	0	0	4	0	26	0	3	0	0	0	0	0	0	0
ACO2	ENSG00000100412	ENST00000678454	retained_intron	0	0	0	21	0	0	0	0	0	0	9	0	12	0	0	0	0	0	0	0	0	0
ACO2	ENSG00000100412	ENST00000678600	retained_intron	0	0	0	33	0	0	0	0	0	0	4	0	24	0	5	0	0	0	0	0	0	0
ACO2	ENSG00000100412	ENST00000678688	nonsense_mediated_decay	0	0	0	36	3	0	0	0	0	0	4	0	26	0	3	0	0	0	0	0	0	0
ACO2	ENSG00000100412	ENST00000678788	protein_coding	0	3	0	30	0	0	0	0	0	0	4	0	26	0	0	0	0	0	0	0	3	0
